method,mase_leadtime,mase_rank,order_cofr,cofr_rank,pct_platforms_ge_080,contract_80of80_pass
WMA,0.8025,1.0,0.5583,35.0,0.1220,False
Chronos-Bolt-tiny,0.8897,2.0,0.5680,32.0,0.0244,False
Chronos-Bolt-small,0.8946,3.0,0.5673,33.0,0.0244,False
Holt,0.9218,4.0,0.7043,19.0,0.2683,False
MA,0.9713,5.0,0.5775,31.0,0.1220,False
SES,0.9951,6.5,0.7333,13.0,0.3171,False
EMA,0.9951,6.5,0.7284,15.0,0.3171,False
TimesFM,1.0442,8.0,0.5436,37.0,0.0244,False
LightGBMQuantile,1.0600,9.0,0.6746,24.0,0.1220,False
SVR,1.1180,10.0,0.7073,18.0,0.1707,False
Naive,1.1465,11.0,0.6270,29.0,0.1463,False
DeepAR,1.3156,12.0,0.5952,30.0,0.0732,False
TFT,1.3789,13.0,0.5588,34.0,0.0244,False
DeepARTweedie,1.4063,14.0,0.6407,27.0,0.2195,False
TSB,1.5124,15.0,0.7935,9.0,0.5610,False
GlobalMLP,1.6990,16.0,0.6783,21.0,0.2195,False
BATS,1.7006,17.0,0.7273,16.0,0.2927,False
TBATS,1.7018,18.0,0.7305,14.0,0.2927,False
RandomForest,1.7941,19.0,0.6743,25.0,0.2439,False
ElasticNet,2.0086,20.0,0.7606,12.0,0.3902,False
ARIMA,2.0599,21.0,0.7873,10.0,0.4878,False
GradientBoosting,2.1377,22.0,0.5516,36.0,0.1463,False
XGBoost,2.1537,23.0,0.5431,38.0,0.1220,False
LightGBM,2.1678,24.0,0.7715,11.0,0.5122,False
LightGBMEnsemble,2.2039,25.0,0.7959,7.0,0.5610,False
Transformer,2.2829,26.0,0.6766,22.0,0.2195,False
SeasonalNaive,2.2836,27.0,0.6513,26.0,0.1951,False
RNN,2.3385,28.0,0.6836,20.0,0.2195,False
N-BEATS,2.4967,29.0,0.6756,23.0,0.2439,False
Bootstrap,2.5590,30.0,0.7951,8.0,0.3659,False
TwoStageML,2.7917,31.5,0.8823,3.0,0.8537,True
ETS,2.7917,31.5,0.8758,4.0,0.8049,True
SBA,3.2026,33.0,0.8474,6.0,0.8049,True
Moirai,3.3206,34.0,0.7190,17.0,0.5366,False
Croston,3.3818,35.0,0.8583,5.0,0.8780,True
HybridHierarchical,3.5188,36.0,0.9032,2.0,0.9024,True
ADIDA,3.5481,37.0,0.9063,1.0,0.9268,True
Prophet,4.2700,38.0,0.6344,28.0,0.2927,False
